date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:27:08	262/262	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Feb%202018%2011:27:07%20GMT	http://huda-matte.com/robots.txt		(from )
13:27:09	16181/16181	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Feb%202018%2011:27:08%20GMT	http://huda-matte.com/	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/index.html	(from )
13:27:09	9846/9846	---M--	200	added ('OK')	image/png	etag:%2259380fe1-2676%22	http://infocdn.org/img/products_new/1798.png	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/1798.png	(from http://huda-matte.com/)
13:27:10	796/796	---MCZ	200	added ('OK')	text/css	etag:W/%225a16c4f0-31c%22	http://huda-matte.com/files/_fonts/museo_sans/styles.css	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/styles.css	(from http://huda-matte.com/)
13:27:11	2750/2750	---MCZ	200	added ('OK')	text/css	etag:W/%2259381b04-abe%22	http://huda-matte.com/files/huda_beauty_1/css/slick.css	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/slick.css	(from http://huda-matte.com/)
13:27:12	13009/13009	---MCZ	200	added ('OK')	text/css	etag:W/%2259381b04-32d1%22	http://huda-matte.com/files/huda_beauty_1/css/style.css	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/style.css	(from http://huda-matte.com/)
13:27:15	95333/95333	---MCZ	200	added ('OK')	application/javascript	etag:W/%225735bc1c-17465%22	http://infocdn-test.com/files/_js/jquery-1.10.2.min.js	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/jquery-1.10.2.min.js	(from http://huda-matte.com/)
13:27:15	2130/2130	---MCZ	200	added ('OK')	application/javascript	etag:W/%22591f1024-852%22	http://huda-matte.com/files/_js/validation.js	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/validation.js	(from http://huda-matte.com/)
13:27:15	476/476	---MCZ	200	added ('OK')	application/javascript	etag:W/%225735bc1c-1dc%22	http://infocdn-test.com/files/_js/ab.min.js	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/ab.min.js	(from http://huda-matte.com/)
13:27:16	2406/2406	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259a982d9-966%22	http://huda-matte.com/files/_js/timer.js	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/timer.js	(from http://huda-matte.com/)
